Find,Replace,MatchCase,WholeWord,Wildcards,Description,Rule
<Company Name>,Secfix GmbH,FALSE,TRUE,FALSE,Replaced,RULE_01
"<Company name, address>","Secfix GmbH, Salvatorplatz 3, 80333 München",FALSE,TRUE,FALSE,Replaced,RULE_02
"Guest Network Access: Visitors to the Company can access guest networks by registering with the office personnel, bypassing the need for a formal access request.",,FALSE,TRUE,FALSE,"You indicated that you do not have an office, so this section about guest network access should b...",RULE_03
Password management systems should be user-friendly,"Password management systems, specifically 1Password, should be user-friendly",FALSE,TRUE,FALSE,"You indicated you use 1Password for password management, so we're updating the generic reference ...",RULE_04
All requests will be sent by email to <email>,All requests will be submitted through Clickup ticketing system,FALSE,TRUE,FALSE,You indicated you use Clickup for ticket management and prefer using a ticketing system for acces...,RULE_05
quarterly basis,quarterly basis,FALSE,TRUE,FALSE,You selected Quarterly which matches the current quarterly basis. We recommend quarterly reviews ...,RULE_06
<24 business hours>,<24 business hours>,FALSE,TRUE,FALSE,You selected 24 business hours which matches the current placeholder. As a company with 24 employ...,RULE_07
<owner>,branko@secfix.com,FALSE,TRUE,FALSE,"You indicated that branko@secfix.com is the owner of this access control policy, so the owner pla...",RULE_08
<Exceptions: IT Manager>,CISO,FALSE,TRUE,FALSE,"You indicated that the CISO is responsible for approving exceptions to this policy, so the IT Man...",RULE_09
<Violations: IT Manager>,CISO,FALSE,TRUE,FALSE,"You indicated that the CISO is responsible for handling policy violations, so the IT Manager plac...",RULE_10
