Find,Replace,MatchCase,WholeWord,Wildcards,Description,Rule,Comment,Author
<Company Name>,Secfix GmbH,FALSE,TRUE,FALSE,Replaced,RULE_01,Replaced,Secfix AI
"<Company name, address>","Secfix GmbH, Salvatorplatz 3, 80333 München",FALSE,TRUE,FALSE,Replaced,RULE_02,Replaced,Secfix AI
"Guest Network Access: Visitors to the Company can access guest networks by registering with the office personnel, bypassing the need for a formal access request.",,FALSE,TRUE,FALSE,"You indicated that you do not have an office, so this section about guest network access should b...",RULE_03,"You indicated that you do not have an office, so this section about guest network access should be removed.

No office = no guest network needed; Having office = visitors need controlled network access for security.",Secfix AI
Password management systems should be user-friendly,"Password management systems, specifically 1Password, should be user-friendly",FALSE,TRUE,FALSE,"You indicated you use 1Password for password management, so we're updating the generic reference ...",RULE_04,"You indicated you use 1Password for password management, so we're updating the generic reference to specify your chosen tool.

No password tool = section removed; Using specific tool = policy references actual system rather than generic language.",Secfix AI
All requests will be sent by email to <email>,All requests will be submitted through Clickup ticketing system,FALSE,TRUE,FALSE,You indicated that you use Clickup for ticket management and prefer using a ticketing system for ...,RULE_05,"You indicated that you use Clickup for ticket management and prefer using a ticketing system for access requests.

Email = simple but no tracking; Ticketing system = proper audit trails; Chat = fast but informal; Manager approval = personal but creates bottlenecks.",Secfix AI
quarterly basis,quarterly basis,FALSE,TRUE,FALSE,You selected Quarterly which matches the current quarterly basis. We recommend quarterly reviews ...,RULE_06,"You selected Quarterly which matches the current quarterly basis.

We recommend quarterly reviews for most companies. If you operate in highly critical industries with complex or large company structure (1000+ employees), you might consider monthly reviews. Small companies and startups can get away with annual reviews. Pick any frequency that works for your company. Auditors only care that you consistently follow whatever schedule you document here.",Secfix AI
<24 business hours>,<24 business hours>,FALSE,TRUE,FALSE,You selected 24 business hours which matches the current placeholder. As a company with 24 employ...,RULE_07,"You selected 24 business hours which matches the current placeholder. As a company with 24 employees, this timeframe is appropriate for your size.

We recommend 24 business hours for most companies. Consider shorter timelines if customers request it. Longer than 1 week looks suspicious to auditors. You only get a non-conformity for not meeting your documented timeframe, not for choosing the wrong timeframe.",Secfix AI
<owner>,branko@secfix.com,FALSE,TRUE,FALSE,"You indicated that branko@secfix.com is the owner of this access control policy, so the owner pla...",RULE_08,"You indicated that branko@secfix.com is the owner of this access control policy, so the owner placeholder needs to be replaced.

This person is the enforcer of the policy. If your employees have questions about the policy, that person should be easily identified by employees and prepared to answer any of their questions regarding the policy.",Secfix AI
<Exceptions: IT Manager>,CISO,FALSE,TRUE,FALSE,"You indicated that the CISO is responsible for approving exceptions to this policy, so the IT Man...",RULE_09,"You indicated that the CISO is responsible for approving exceptions to this policy, so the IT Manager placeholder should be updated.

Can be the same person as violations reporting section. Acceptable roles: CISO, CEO, CTO, IT Manager, or even HR Manager. For audit it's only important to define it. Auditors will not issue a non-conformity for wrong selection - select what works best for you here. But it needs to be consistently done by this person.",Secfix AI
<Violations: IT Manager>,CISO,FALSE,TRUE,FALSE,"You indicated that the CISO is responsible for handling policy violations, so the IT Manager plac...",RULE_10,"You indicated that the CISO is responsible for handling policy violations, so the IT Manager placeholder should be updated.

Can be the same person as exception approval section. Acceptable roles: CISO, CEO, CTO, IT Manager, or even HR Manager. For audit it's only important to define it. Auditors will not issue a non-conformity for wrong selection - select what works best for you here. But it needs to be consistently done by this person.",Secfix AI
Access to Program Source Code,Access to Program Source Code,FALSE,TRUE,FALSE,"You indicated you use Gitlab for version control, so this section about source code access should...",RULE_11,"You indicated you use Gitlab for version control, so this section about source code access should remain.

No version control = no source code to protect; Using version control = IP protection needed.",Secfix AI
